JudgedSpeed,PaddleLength,BallSpeed,TrialNumber,Color,HitOrMiss,BlockNumber
1,50,5,1,red,0,1
0,250,3,2,blue,1,1
1,50,4,3,red,0,1
0,250,3,4,red,1,1
1,250,7,5,blue,1,1
0,50,5,6,blue,1,1
1,250,6,7,red,1,1
0,50,2,8,red,1,1
0,250,4,9,red,1,1
0,50,4,10,blue,1,1
1,50,7,11,blue,0,1
1,250,7,12,red,1,1
0,50,3,13,red,1,1
1,250,6,14,blue,1,1
0,250,5,15,blue,1,1
1,50,7,16,red,0,1
0,50,2,17,blue,1,1
1,250,5,18,red,1,1
0,250,2,19,blue,1,1
1,50,6,20,red,0,1
0,250,2,21,red,0,1
0,50,3,22,blue,0,1
1,50,6,23,blue,0,1
0,250,4,24,blue,1,1
0,250,3,25,red,1,2
0,50,4,26,blue,1,2
0,50,2,27,blue,1,2
1,250,6,28,red,1,2
1,50,7,29,red,1,2
0,250,2,30,red,1,2
1,50,5,31,blue,1,2
1,50,4,32,red,0,2
0,50,2,33,red,1,2
1,250,4,34,blue,1,2
0,50,3,35,blue,0,2
1,50,7,36,blue,1,2
0,50,3,37,red,1,2
1,50,6,38,red,1,2
1,250,7,39,red,1,2
0,250,3,40,blue,1,2
1,50,6,41,blue,0,2
0,250,5,42,red,1,2
0,250,5,43,blue,1,2
1,250,4,44,red,0,2
0,250,2,45,blue,1,2
1,250,7,46,blue,1,2
1,50,5,47,red,1,2
1,250,6,48,blue,1,2
1,50,5,49,red,1,3
1,250,5,50,red,1,3
1,250,5,51,blue,1,3
1,250,4,52,blue,1,3
1,50,4,53,blue,0,3
1,250,6,54,blue,1,3
1,50,7,55,blue,0,3
1,250,7,56,blue,1,3
0,250,3,57,blue,1,3
0,50,2,58,red,0,3
0,50,3,59,red,1,3
1,50,7,60,red,1,3
0,250,2,61,red,1,3
1,50,4,62,red,0,3
0,50,3,63,blue,1,3
1,50,5,64,blue,1,3
0,250,4,65,red,1,3
1,250,6,66,red,1,3
1,50,6,67,blue,1,3
1,250,7,68,red,1,3
0,250,2,69,blue,1,3
1,50,6,70,red,1,3
0,250,3,71,red,1,3
0,50,2,72,blue,1,3
1,250,6,73,red,1,4
0,250,4,74,blue,1,4
0,250,4,75,red,1,4
0,50,4,76,blue,0,4
1,250,6,77,blue,0,4
0,50,3,78,blue,1,4
1,50,7,79,blue,1,4
