name,rank,points,competition,event_name,event_score
Sebrle,1,8217,Decastar,"Sprint, 100m",11.04
Sebrle,1,8217,Decastar,Long Jump,7.58
Sebrle,1,8217,Decastar,Shot Put,14.83
Sebrle,1,8217,Decastar,High Jump,2.07
Sebrle,1,8217,Decastar,"Sprint, 400m",49.81
Sebrle,1,8217,Decastar,"Hurdle, 100m",14.69
Sebrle,1,8217,Decastar,Discus,43.75
Sebrle,1,8217,Decastar,Pole Vault,5.02
Sebrle,1,8217,Decastar,Javelin,63.19
Sebrle,1,8217,Decastar,"Sprint, 1500m",291.7
Clay,2,8122,Decastar,"Sprint, 100m",10.76
Clay,2,8122,Decastar,Long Jump,7.4
Clay,2,8122,Decastar,Shot Put,14.26
Clay,2,8122,Decastar,High Jump,1.86
Clay,2,8122,Decastar,"Sprint, 400m",49.37
Clay,2,8122,Decastar,"Hurdle, 100m",14.05
Clay,2,8122,Decastar,Discus,50.72
Clay,2,8122,Decastar,Pole Vault,4.92
Clay,2,8122,Decastar,Javelin,60.15
Clay,2,8122,Decastar,"Sprint, 1500m",301.5
Karpov,3,8099,Decastar,"Sprint, 100m",11.02
Karpov,3,8099,Decastar,Long Jump,7.3
Karpov,3,8099,Decastar,Shot Put,14.77
Karpov,3,8099,Decastar,High Jump,2.04
Karpov,3,8099,Decastar,"Sprint, 400m",48.37
Karpov,3,8099,Decastar,"Hurdle, 100m",14.09
Karpov,3,8099,Decastar,Discus,48.95
Karpov,3,8099,Decastar,Pole Vault,4.92
Karpov,3,8099,Decastar,Javelin,50.31
Karpov,3,8099,Decastar,"Sprint, 1500m",300.2
Bernard,4,8067,Decastar,"Sprint, 100m",11.02
Bernard,4,8067,Decastar,Long Jump,7.23
Bernard,4,8067,Decastar,Shot Put,14.25
Bernard,4,8067,Decastar,High Jump,1.92
Bernard,4,8067,Decastar,"Sprint, 400m",48.93
Bernard,4,8067,Decastar,"Hurdle, 100m",14.99
Bernard,4,8067,Decastar,Discus,40.87
Bernard,4,8067,Decastar,Pole Vault,5.32
Bernard,4,8067,Decastar,Javelin,62.77
Bernard,4,8067,Decastar,"Sprint, 1500m",280.1
Yurkov,5,8036,Decastar,"Sprint, 100m",11.34
Yurkov,5,8036,Decastar,Long Jump,7.09
Yurkov,5,8036,Decastar,Shot Put,15.19
Yurkov,5,8036,Decastar,High Jump,2.1
Yurkov,5,8036,Decastar,"Sprint, 400m",50.42
Yurkov,5,8036,Decastar,"Hurdle, 100m",15.31
Yurkov,5,8036,Decastar,Discus,46.26
Yurkov,5,8036,Decastar,Pole Vault,4.72
Yurkov,5,8036,Decastar,Javelin,63.44
Yurkov,5,8036,Decastar,"Sprint, 1500m",276.4
Warners,6,8030,Decastar,"Sprint, 100m",11.11
Warners,6,8030,Decastar,Long Jump,7.6
Warners,6,8030,Decastar,Shot Put,14.31
Warners,6,8030,Decastar,High Jump,1.98
Warners,6,8030,Decastar,"Sprint, 400m",48.68
Warners,6,8030,Decastar,"Hurdle, 100m",14.23
Warners,6,8030,Decastar,Discus,41.1
Warners,6,8030,Decastar,Pole Vault,4.92
Warners,6,8030,Decastar,Javelin,51.77
