X1,mpg,cyl,disp,hp,vs
Mazda RX4,21,6,160,110,0
Mazda RX4 Wag,21,6,160,110,0
Datsun 710,22.8,4,108,93,1
Hornet 4 Drive,21.4,6,258,110,1
Hornet Sportabout,18.7,8,360,175,0
Valiant,18.1,6,225,105,1
Duster 360,14.3,8,360,245,0
Merc 240D,24.4,4,146.7,62,1
Merc 230,22.8,4,140.8,95,1
Merc 280,19.2,6,167.6,123,1
Merc 280C,17.8,6,167.6,123,1
Merc 450SE,16.4,8,275.8,180,0
Merc 450SL,17.3,8,275.8,180,0
Merc 450SLC,15.2,8,275.8,180,0
Cadillac Fleetwood,10.4,8,472,205,0
Lincoln Continental,10.4,8,460,215,0
Chrysler Imperial,14.7,8,440,230,0
Fiat 128,32.4,4,78.7,66,1
Honda Civic,30.4,4,75.7,52,1
Toyota Corolla,33.9,4,71.1,65,1
Toyota Corona,21.5,4,120.1,97,1
Dodge Challenger,15.5,8,318,150,0
AMC Javelin,15.2,8,304,150,0
Camaro Z28,13.3,8,350,245,0
Pontiac Firebird,19.2,8,400,175,0
Fiat X1-9,27.3,4,79,66,1
Porsche 914-2,26,4,120.3,91,0
Lotus Europa,30.4,4,95.1,113,1
Ford Pantera L,15.8,8,351,264,0
Ferrari Dino,19.7,6,145,175,0
Maserati Bora,15,8,301,335,0
Volvo 142E,21.4,4,121,109,1
