Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,StandardisedIncidenceRatioQF
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1993,52,36,30,66,102,202,289,373,641,993,1458,1946,2880,3719,4169,3441,2698,1484,595,25174,16.1001678132876,11.1294541002764,9.30270057397663,21.3923849592086,26.4404881639932,49.259642209173,72.5793287039944,104.886944246825,190.9016454471,297.010157567927,513.695010323226,712.223080273324,1095.88624091994,1540.52632232997,1986.28799031869,2387.47771063021,2563.03079816845,2800.84553827571,2739.66295238972,494.338688963684,488.250750021095,500.483584208776,651.895140528284,643.166808181065, ,660.68148597009, ,295.729815406835,291.798424063127, ,299.687149786448, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1994,71,28,35,55,113,193,298,431,615,1006,1392,2013,2891,3702,4382,3353,2865,1558,595,25596,22.0348398749911,8.59317456420329,10.8845060611149,17.9530283494639,30.3982438961402,47.4879373257648,73.6671923900307,118.059226835328,183.77628897402,293.497256121577,483.328298663556,732.252960113494,1108.14260580251,1540.03594249201,2022.52376996215,2429.79818109352,2713.14525980852,2875.91833720973,2646.56169379948,501.664964789768,495.537786333667,507.848989708173,660.711173078883,651.959624910056, ,669.520261024532, ,298.296339723675,294.361522684722, ,302.256920109974, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1995,56,39,40,51,95,189,301,425,580,1026,1423,2057,2901,3690,4318,3450,2883,1603,610,25737,17.5920282980341,12.0228989984,12.4743885210677,16.5671016342958,26.589789520824,47.4607256217606,73.7069451042427,113.365075554489,172.76095840631,292.53104934822,490.523891926177,746.542206672788,1117.52288206108,1535.30579213874,2047.21198932302,2379.08064048988,2713.28408074914,2866.23634380532,2587.9258410759,504.282195823022,498.139894756953,510.481326538133,655.176099096547,646.61402474166, ,663.793709062569, ,296.988907417812,293.076111106376, ,300.927291474415, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1996,58,19,28,55,106,213,302,459,614,1121,1633,2167,2905,3971,4490,3853,2972,1607,678,27251,18.7046693949684,5.87253508067009,8.77283679077098,17.7163895930706,31.1355365152285,54.4166939175932,74.2695394058929,120.115562161766,180.686550034578,315.620838295704,550.560168842947,793.775801376562,1122.8658784058,1660.08929616562,2153.18806107573,2547.72437232615,2831.15027387473,2833.21579689704,2783.70832649039,535.152851719987,528.81765507823,541.545002978441,690.323968698304,681.577665201118, ,699.125261899802, ,312.96726346863,308.960984503966, ,316.9989931757, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1997,57,38,38,57,113,194,316,426,607,1067,1577,2104,2791,3645,4143,4000,2767,1571,685,26196,18.8302142349813,11.7365454405065,11.8687318260044,18.0818058965721,35.0875013972899,51.1886857173012,77.8747104342254,109.635013202526,174.720504760918,313.6879055232,495.58156197755,770.097945917456,1081.51466302933,1519.3260778045,2010.71605369675,2525.15687537088,2712.93127959762,2724.35619526576,2739.23301475587,515.330471697742,509.108667632393,521.609331861069,656.705886409186,648.25076345186, ,665.215034841747, ,298.229664364639,294.320251075758, ,302.164514082336, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1998,59,25,35,57,89,176,305,456,647,912,1620,2094,2756,3635,4247,3919,2579,1489,657,25757,19.9061375008013,7.79539884378644,10.8230462855305,17.9067341886679,28.7613550799339,48.4406780594004,75.8176498517206,115.642997892559,182.202709666882,272.892117846307,490.778216717966,757.488062509044,1057.96138978353,1516.06781640356,2064.46657819647,2382.32737396886,2636.6368822459,2537.01589681553,2518.495802507,507.320166946684,501.143254805359,513.554206658528,638.570608292565,630.334870521017, ,646.859060610308, ,291.2743888922,287.429404646304, ,295.144566767411, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1999,56,28,31,51,90,179,302,421,631,924,1665,2080,2839,3509,4123,4022,2514,1711,670,25846,19.2896583319268,8.79258910346993,9.54965667443988,16.0541433855355,29.2795284043958,51.7299178101194,76.1647276606584,105.491047042492,173.774627252048,277.839586728649,492.607922555526,740.817249644728,1082.05968670199,1469.9906580816,2004.26812372698,2363.60217202228,2664.49041885705,2897.98614522112,2472.78095589592,509.587042459015,503.393189255983,515.83808069431,635.815782611759,627.656810053344, ,644.026714064615, ,289.185872020679,285.36694066082, ,293.029836320964, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2000,44,35,27,47,99,187,299,441,659,983,1710,2117,2921,3456,4124,4019,2717,1574,707,26166,15.536009999541,11.1699038111712,8.36213624707325,14.7847094647306,31.9762277740993,56.6714751554677,77.3143228015194,109.413533536116,177.482601857238,294.879948163525,494.415418821903,748.075040725389,1109.65065568539,1448.21864078646,1996.37902156128,2418.50556936279,2705.23223975706,2651.39391897583,2498.58637263217,516.814341074554,510.571056386309,523.114911824285,637.033299942233,628.95244584234, ,645.165021581444, ,291.042811771818,287.220837459165, ,294.889698056866, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2001,56,31,36,51,113,156,280,420,660,922,1675,2216,2886,3556,4108,3972,2694,1608,746,26186,20.27068605413,10.1369137348641,11.1481684488253,16.05768171156,35.828088587327,49.5418962478365,73.4451273092591,104.158400126974,174.193957053272,272.613303056107,477.367099574502,763.774479730335,1103.41768909314,1484.98312898807,1982.83601540704,2398.31900299488,2538.42022444384,2706.66060697874,2538.71022630594,517.080684017219,510.836560548926,523.382079248265,630.790747341037,622.816349713166, ,638.81517023092, ,288.893102031513,285.087503635205, ,292.723583688166, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2002,62,39,51,61,106,170,296,435,728,959,1646,2244,2984,3631,4135,4032,2976,1472,738,26765,22.981092491484,12.9850671727513,15.7887404609693,19.1449429104079,32.7995667981744,56.4090652686067,79.8670321842554,108.018713310885,188.513616742495,277.014711532073,488.408459020869,719.352967010422,1138.14502195048,1515.4487289179,1976.48295970556,2452.76361733968,2602.5815930318,2511.90252726063,2763.32047777736,528.326095538887,522.015354402374,534.694086791053,640.634375026162,632.545386026481, ,648.774046065858, ,294.00777176874,290.163284974172, ,297.877210005805, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2003,58,43,38,78,96,144,298,454,673,1042,1540,2291,2958,3661,4233,4085,3127,1515,798,27132,21.8769684556746,14.5391593660927,11.873552910739,24.3053499814594,29.2250787707201,49.1145733853584,83.103960824012,113.40247387247,171.297816398266,294.656592163605,464.497603614636,707.11404258734,1114.07813612242,1511.43588473289,2013.65268891373,2482.09066770366,2651.68539325843,2685.40839478162,2939.33478212826,535.30630364013,528.955449599442,541.714378757577,644.090054919398,636.025772397185, ,652.204437441911, ,293.039418448332,289.228144579175, ,296.875294693613, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2004,51,41,46,55,99,157,257,448,710,1062,1678,2425,3145,3905,4103,4015,3278,1552,811,27838,19.3381792535463,14.0405669649431,14.4248106743599,17.0510912698413,29.9886406664142,53.212041512171,74.5141359404583,112.89838892991,177.894035288163,293.301296656862,507.88769567902,728.674623493071,1162.19771773192,1596.04034855396,1949.24272656443,2426.05516782984,2691.87182814065,2822.33133296963,2916.42692750288,547.528666679779,541.115465425029,553.998909700005,652.819924715471,644.74784556734, ,660.941525681866, ,298.375394409366,294.550174212891, ,302.224951914046, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2005,54,22,36,60,119,156,248,512,755,1025,1531,2541,2972,3775,4214,4029,3113,1580,772,27514,20.3397491430939,7.63666152927618,11.4116893738152,18.5883971225161,35.4516963189819,51.5177934532773,74.2350497195232,131.270943740658,185.937692402413,276.377912416514,461.336338598574,744.532476969597,1086.8770205234,1535.56407064815,1991.83225879639,2408.29184026014,2616.25219561801,2630.30847858296,2706.20815367897,538.413369339752,532.07002089025,544.81347112382,631.969116831043,624.186937608715, ,639.798842144743, ,290.08506693915,286.344508058273, ,293.84956374526, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2006,51,21,26,60,113,155,266,446,705,1107,1621,2445,3085,3851,4258,4063,3232,1737,816,28058,19.0379489782967,7.41583032580215,8.37634263107365,18.4590961811207,33.3919416084278,49.6570460144614,82.6633767057091,115.394566623545,172.919144970015,292.290347025477,481.589095468131,705.859936602519,1099.57086440171,1576.16636720461,2001.14673509479,2409.57424726751,2734.78816391806,2677.58046614872,2813.50205151191,546.609261459937,540.231906084945,553.043115859834,640.80796982402,632.997046919235, ,648.666127077963, ,291.811307477189,288.088267059588, ,295.55792024104, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2007,54,31,21,67,101,175,287,446,747,1156,1712,2401,3460,4040,4119,4243,3167,1862,820,28909,19.6863311240895,11.190204600257,6.84261974584555,20.3498967318673,29.5692550011564,53.5905680600214,92.1052631578947,117.429917246137,182.578090629125,298.666335963457,496.158538882658,720.979884030641,1142.89866849002,1645.04491298364,1925.92731132318,2472.49545475735,2678.20145284184,2741.37981802656,2850.48840685508,559.168278529981,552.740858940678,565.651792216752,646.672584817282,638.928772538162, ,654.462397332148, ,297.338384463874,293.603426665606, ,301.096622482673, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2008,61,38,31,59,115,203,259,487,833,1183,1719,2443,3651,4043,4395,4268,3216,2034,764,29802,21.6247642546192,13.9594001866151,10.2046862552752,17.9264287211772,33.1689308067261,60.3270737803084,84.4966576515149,131.666459388873,204.282827490141,299.345892534065,487.347119293729,745.54443359375,1159.14329436715,1621.07111782938,2026.31676010623,2459.27616150092,2697.62447993558,2897.06447891296,2683.05531167691,572.795940725365,566.310991004737,579.336628168657,655.301150884269,647.581897970796, ,663.065506479189, ,303.143160138632,299.387920268758, ,306.9214811096, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2009,51,23,32,67,118,204,245,419,802,1207,1821,2559,3754,4218,4548,4325,3296,2094,805,30588,17.7378964941569,8.53169524784575,10.6614780806674,20.1595310953245,33.834640363579,59.9920598744284,79.1717024178068,117.2083707477,198.525170862842,300.566519330138,504.282664141099,784.873021715127,1161.12549372578,1660.60377001937,2070.47254848402,2474.56773735825,2727.68651466876,2883.94000743709,2807.71511283178,584.644201915174,578.110470296905,591.233360905573,662.674020370827,654.979954695316, ,670.412392608474, ,305.607741580439,301.879149743835, ,309.358902494293, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2010,44,17,32,56,133,208,290,427,811,1222,1830,2508,3802,4136,4571,4185,3415,2011,878,30576,15.1255246666369,6.3057081495714,10.8217422328636,16.8761112617907,37.6007870721144,60.6603226079273,91.9082692088283,123.082421985345,204.414959847962,299.175431380614,495.789850125167,766.344402752484,1147.55186922376,1609.42619442304,2067.44642550227,2363.0717108978,2773.33376645525,2808.58076590039,2718.01380676717,581.049751054692,574.554918886485,587.59969146239,651.475054269731,643.961206105374, ,659.031882423525, ,301.497792455042,297.817558275834, ,305.200313886394, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2011,52,31,33,61,119,211,256,384,797,1250,1843,2494,3839,4305,4657,4443,3551,2018,938,31282,17.7120162405564,11.4433370247324,11.3688823355129,18.6640802127093,32.5510148257563,60.9212095314264,79.064567337686,114.251370867686,202.456917574378,304.307287064019,488.448704935108,751.376821200034,1140.98727051711,1628.13477400884,2113.29282515077,2480.12771848345,2831.82876646783,2807.65217391304,2667.12161278399,590.237551651918,583.714689270274,596.815129071202,657.596832069555,650.130605086743, ,665.105097131195, ,302.728977786286,299.063334845324, ,306.416640606317, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2012,54,32,31,58,108,198,279,406,739,1243,1947,2587,3717,4637,4548,4364,3508,2144,982,31582,18.2561952736739,11.6111568703578,11.0093828353067,18.1854666767,29.0840934245712,57.0059769903147,83.7996377693077,126.091263987279,191.713514116496,302.974167978824,506.099447111698,762.46109591625,1152.11872681117,1622.7755516282,2052.87461124928,2416.40319160128,2727.26565962045,2964.51978651033,2660.88605879962,594.361638060825,587.824385436861,600.953464155514,652.020214111429,644.666194660227, ,659.415364858351, ,301.559556416793,297.914909745098, ,305.2260556057, ,100, 
